Wall time,Step,Value
1691316582.2041678,25,31.7080078125
1691316856.3868122,55,26.26171875
1691316986.3781688,70,26.494140625
1691317027.9190466,75,21.6826171875
1691317149.5745006,90,16.7255859375
1691317375.577651,120,13.677734375
1691318967.3620083,180,9.8037109375
1691319114.649395,200,10.810546875
1691319187.3790822,210,10.56640625
1691319260.8549912,220,9.4130859375
1691319297.4497604,225,13.8134765625
1691319370.7865202,235,9.0859375
1691320696.568136,265,12.5654296875
1691320732.0739574,270,9.6416015625
1691320767.8934462,275,10.5556640625
1691320804.2278926,280,14.9814453125
1691321119.811852,325,10.9091796875
1691321223.2348151,340,7.06640625
1691321327.6857297,355,10.197265625
1691321363.0476031,360,9.763671875
1691321397.662347,365,7.48046875
1691321431.7777069,370,5.9091796875
1691322659.9181602,395,9.251953125
1691322936.8770888,435,8.181640625
1691323183.0416307,470,6.5546875
1691324523.5154376,510,7.3212890625
1691324628.814029,525,8.2099609375
1691324663.5933824,530,7.08984375
1691324904.6653972,565,8.7197265625
1691325078.0025754,590,7.2275390625
1691326305.4912686,630,7.0703125
1691326405.71385,645,6.626953125
1691326439.5545917,650,4.3515625
1691326745.2821784,695,7.751953125
1691326813.4921904,705,7.24609375
1691326848.999286,710,8.66015625
1691326883.7340589,715,8.4013671875
1691328177.1833074,750,5.3828125
1691328344.911969,775,3.3974609375
1691328411.159441,785,5.7646484375
1691328445.4851604,790,6.0380859375
1691328579.8833597,810,4.6025390625
1691328748.9762855,835,3.5927734375
1691328782.8741598,840,5.7587890625
1691328883.1470265,855,5.7216796875
1691330109.6643257,885,4.24609375
1691330143.5540857,890,3.384765625
1691330208.805105,900,2.8916015625
1691330309.068572,915,4.2421875
1691330374.2264278,925,3.0927734375
1691330407.6816304,930,4.591796875
1691330472.9873338,940,2.84765625
1691330539.1216092,950,3.16015625
1691330571.9265947,955,3.7021484375
1691330804.006057,990,3.708984375
1691332046.2173944,1030,3.1845703125
1691332078.9900467,1035,2.80078125
1691332112.0115604,1040,3.494140625
1691332243.0399864,1060,4.8671875
1691332573.2879274,1110,2.2626953125
1691332606.783771,1115,3.4404296875
1691333655.8987021,1125,3.9267578125
1691333786.8606417,1145,2.873046875
1691333885.8528306,1160,2.8427734375
1691333919.5786624,1165,4.9189453125
1691333952.8358772,1170,3.4873046875
1691334052.1730359,1185,1.5400390625
1691334440.9123774,1245,2.2802734375
1691335603.7825482,1275,1.814453125
1691335705.2344048,1290,2.951171875
1691335770.7820039,1300,2.478515625
1691335800.8152285,1305,1.3310546875
1691335866.9161022,1315,2.19140625
1691335997.9032848,1335,1.958984375
1691336128.774518,1355,1.6044921875
1691336193.1598356,1365,1.533203125
1691337224.7211008,1390,2.25390625
1691337672.491244,1460,3.4345703125
1691337836.6382682,1485,2.310546875
1691337869.0211596,1490,2.9189453125
1691338867.8555024,1510,2.3720703125
1691338900.816834,1515,3.4638671875
1691339027.4725888,1535,1.3818359375
1691339059.6751673,1540,2.0537109375
1691339124.4255927,1550,2.421875
1691339211.7545114,1565,2.67578125
1691339371.7047982,1590,2.3095703125
1691339403.736609,1595,2.021484375
1691339434.670062,1600,4.7451171875
1691340480.0951993,1625,1.9580078125
1691340512.15386,1630,1.751953125
1691340545.008731,1635,2.27734375
1691340641.357919,1650,1.5009765625
1691340924.6600852,1695,4.1865234375
1691340989.4337275,1705,3.119140625
1691341185.822345,1735,2.20703125
